web_scraper_order,web_scraper_start_url,Name,price,adress,image_link
"1765122076-79","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum","1 500 000CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-1823167"
"1765122076-80","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","350CFA","Rufisque, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1817604"
"1765122076-81","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","180 000CFA","M'bour, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1814464"
"1765122076-82","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","120 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1802901"
"1765122076-83","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","280 000CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1788990"
"1765122076-84","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum pur sang","850 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-pur-sang-1712699"
"1765122076-85","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1710929"
"1765122076-86","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","Prix sur demande","HLM, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1705512"
"1765122076-87","https://sn.coinafrique.com/categorie/moutons?page=15","Métisse Azawat","180 000CFA","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/metisse-azawat-1689899"
"1765122076-88","https://sn.coinafrique.com/categorie/moutons?page=15","Femelle Baine Mélo","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/femelle-baine-melo-1660551"
"1765122076-89","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Géniteur","Prix sur demande","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-geniteur-1655632"
"1765122076-90","https://sn.coinafrique.com/categorie/moutons?page=15","Agnel Ladoum","350 000CFA","Rufisque, Sénégal","https://sn.coinafrique.com/annonce/moutons/agnel-ladoum-1644447"
"1765122076-91","https://sn.coinafrique.com/categorie/moutons?page=15","Lots  de ladoum","1 600 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/lots-de-ladoum-1634438"
"1765122076-92","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons","Prix sur demande","HLM, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-1618881"
"1765122076-93","https://sn.coinafrique.com/categorie/moutons?page=15","Femelle Ladoum","700 000CFA","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-1599640"
